loggingTime(txt),loggingSample(N),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z)
2025-01-19T19:42:46.542+08:00,1,1309834.883325042,-0.011713872,0.004707089052070584,0.07562117336374477,0.06870592385530472,0.02949660457670689,0.04873079806566238,-0.018319683,0.003161519765853882,-0.011246026,XArbitraryCorrectedZVertical,0.03781459820604395,0.002130420252564951,-0.005763734,0.9992659164020321,0.004693619441241026,-0.075549118,-0.99713105,-8.498634338,47.79138946533203,-30.35394287,-1,2
2025-01-19T19:42:46.572+08:00,2,1309834.913552042,-0.01103006,0.004538900949006918,0.07622771558155644,-0.035854973,-0.029412836,-0.002672932,-0.038186558,0.01113630831241608,0.0240328311920166,XArbitraryCorrectedZVertical,0.03811645814171401,0.002057619203987218,-0.005424507,0.9992565101694233,0.004525704775005579,-0.076153912,-0.99708581,-8.579370499,46.80152893066406,-30.76055908,-1,2
2025-01-19T19:42:46.602+08:00,3,1309834.943780042,-0.011488882,0.003554571189323357,0.07486538001566145,-0.021407504,-0.013701506,-0.016298717,-0.031452898,-0.000582851,-0.007018805,XArbitraryCorrectedZVertical,0.0374334730699394,0.001561032134189072,-0.005673864,0.9992818336738383,0.003544606966897845,-0.074795462,-0.997192621,-8.850221634,45.42397308349609,-30.27445984,-1,2
2025-01-19T19:42:46.633+08:00,4,1309834.974007042,-0.01165966,0.004020825319968844,0.07518269180921551,0.03089620545506477,0.04160251468420029,-0.000784116,-0.025325948,0.004555337131023407,-0.009150088,XArbitraryCorrectedZVertical,0.03759348751737942,0.001789858893307363,-0.005750111,0.999275047197281,0.004009455908089876,-0.075111881,-0.997167051,-8.846097946,44.27192687988281,-30.33357239,-1,2
2025-01-19T19:42:46.663+08:00,5,1309835.004235042,-0.011823995,0.004733444694053088,0.07595016252177042,0.02193665876984596,-0.000505477,-0.012543268,-0.02306081,0.005457952618598938,-0.005426943,XArbitraryCorrectedZVertical,0.03797916757049528,0.00214051983458324,-0.005817831,0.999259277774631,0.004719781223684549,-0.075877167,-0.997106016,-9.156682968,43.455810546875,-30.09382629,-1,2
2025-01-19T19:42:46.693+08:00,6,1309835.034463042,-0.01223888,0.004388275341981198,0.07660287704908829,0.02042815461754799,-0.007681378,-0.014135336,-0.0199851,0.001561649143695831,-0.001385748,XArbitraryCorrectedZVertical,0.03830468037574969,0.001958161547242294,-0.006030883,0.9992460390839032,0.004375392571091652,-0.076527983,-0.997057855,-8.925231934,42.54412078857422,-29.81837463,-1,2
2025-01-19T19:42:46.732+08:00,7,1309835.064690042,-0.012650802,0.0042337859892282,0.07714763794478065,0.02191356010735035,0.00576403085142374,-0.014194183,-0.019632524,-0.002259217,0.0005414485931396484,XArbitraryCorrectedZVertical,0.03857677713880785,0.001871342224701293,-0.006239005,0.9992343803004921,0.004221180453896523,-0.07707113,-0.997016668,-9.280582428,41.87065124511719,-29.66545105,-1,2
2025-01-19T19:42:46.754+08:00,8,1309835.094918042,-0.012720859,0.004333072462929799,0.07818886289496418,0.04691445827484131,0.00108497217297554,0.0128173902630806,-0.010484338,-0.006927915,-0.005551755,XArbitraryCorrectedZVertical,0.03909736032190211,0.001916243528369123,-0.006270835,0.9992139057807511,0.004319820553064346,-0.07810922,-0.996935427,-9.331993103,40.79792022705078,-29.63227844,-1,2
2025-01-19T19:42:46.784+08:00,9,1309835.125145542,-0.012225808,0.00365579969624959,0.07923416229096884,0.01647943817079067,-0.027086277,0.01255281642079353,-0.021283448,0.002094492316246033,0.0117638111114502,XArbitraryCorrectedZVertical,0.03961707884079705,0.001584320315746922,-0.006035664,0.9991954157077243,0.003644322045147419,-0.07915128,-0.996855974,-9.669672012,39.70138549804688,-29.32347107,-1,2
2025-01-19T19:42:46.814+08:00,10,1309835.155373542,-0.012114471,0.002720943038748811,0.0795026227899046,0.01217957772314548,-0.02625094,0.001905380981042981,-0.025554717,0.00204167515039444,0.003398895263671875,XArbitraryCorrectedZVertical,0.03974831039642841,0.001118653443476484,-0.005998342,0.9991911227634771,0.002712345216423273,-0.079418898,-0.996837616,-9.521484375,38.87705230712891,-29.32084656,-1,2
